PID,SID,OID,LLO,LCO,NAME_SI,NAME_TA,NAME_EN,Old Code
57,101,1740,1-2-27-505,505,තිහාරිය බටහිර,திஹாரிய மேற்கு,Thihariya West,318/A
57,102,1741,1-2-27-510,510,බෝගමුව,‍‍போகமுவ,Bogamuwa,320A
57,103,1742,1-2-27-515,515,මංගලතිරිය,மங்கலதிரிய,Mangalathiriya,320
57,104,1743,1-2-27-520,520,පිලන්කඩ,பிலன்கட,Pilankada,319A
57,105,1744,1-2-27-525,525,බෝනෑගල,‍‍‍போ‍னேகல,Bonegala,313
57,106,1745,1-2-27-530,530,මීවල බටහිර,மீவல மேற்கு,Meewala West,315A
57,107,1746,1-2-27-535,535,උඩුගොඩ බටහිර,உடுகொட,Udugoda West,351/A
57,108,1747,1-2-27-540,540,මාතලාන නැගෙනහිර,மாதலான கிழக்கு,Mathalana East,352/B
57,109,1748,1-2-27-545,545,උදුගොඩ,உடுகொட,Udugoda,351
57,110,1749,1-2-27-550,550,පන්නිල,பன்னில,Pannila,352E
57,111,1750,1-2-27-555,555,හුණුපොල,ஹீனுபொல,Hunupola,352C
57,112,1751,1-2-27-560,560,හල්පන්දෙනිය,ஹல்பந்தெனிய,Halpandeniya,362A
57,113,1752,1-2-27-565,565,ඌරාපොල,ஊராப்பொல,Urapola,366
57,114,1753,1-2-27-570,570,වඳුරාමුල්ල,வந்துராமுல்ல,Wanduramulla,366/C
57,115,1754,1-2-27-575,575,දීනපමුනුව බටහිර,தீனபமுணுவ மேற்கு,Deenapamunuwa West,366D
57,116,1755,1-2-27-580,580,දීනපමුනුව,தீனபமுணுவ,Deenapamunuwa,366B
57,117,1756,1-2-27-585,585,යටවක,யடவக்க,Yatawaka,366/A
57,118,1757,1-2-27-590,590,සපුගස්තැන්න,சபுகஸ்தென்ன,Sapugasthenna,365B
57,119,1758,1-2-27-595,595,බෝපගම,‍‍போபகம,Bopagama,376
57,120,1759,1-2-27-600,600,බෝපගම නැගෙනහිර,‍‍போபகம கிழக்கு,Bopagama East,376A
57,121,1760,1-2-27-605,605,මීවිටගම්මන,மீவிடிகம்மண,Meevitagammana,375A
57,122,1761,1-2-27-610,610,බෝපැත්ත දකුණ,‍‍போபெத்த தெற்கு,Bopetta South,367B
57,123,1762,1-2-27-615,615,බෝපැත්ත,‍‍போபெத்த,Bopetta,367
57,124,1763,1-2-27-620,620,නාගොඩ,நாகொட,Nagoda,367A
57,125,1764,1-2-27-625,625,කුරවලාන,குரவளாண,Kurawalana,368A
57,126,1765,1-2-27-630,630,කහටෝවිට,கஹடோவிட,Kahatovita,369
57,127,1766,1-2-27-635,635,කහටෝවිට බටහිර,கஹடோவிட மேற்கு,Kahatovita West,369/A
57,128,1767,1-2-27-640,640,ඕගොඩපොල උතුර,ஒகொடபொல வடக்கு,Ogodapola North,314/A
57,129,1768,1-2-27-645,645,ඕගොඩපොල,ஒகொடபொல,Ogodapola,314
57,130,1769,1-2-27-650,650,කහඹිලිහේන,கஹம்பிலிஹேன,Kahambiliyahena,312/A
57,131,1770,1-2-27-655,655,උඩතුත්තිරිපිටිය,உடதுத்திரிபிட்டிய,Udathuththiripitiya,312
57,132,1771,1-2-27-660,660,මට්ටාගොඩ,மட்டகொட,Mattagoda,311
57,133,1772,1-2-27-665,665,වීරඟුල,வீரங்குல,Weerangula,310
57,134,1773,1-2-27-670,670,වීරඟුල දකුණ,வீரங்குல தெற்கு,Weerangula South,310/A
57,135,1774,1-2-27-675,675,කොස්කඳවල උතුර,கொஸ்கந்தவல வடக்கு,Koskandawala North,308/A
