PID,SID,OID,LLO,LCO,NAME_SI,NAME_TA,NAME_EN,Old Code
40,22,608,1-1-15-110,110,පහළ කොස්ගම නැගෙනහිර,பஹல கொஸ்கம கிழக்கு,Pahala Kosgama East,427
40,23,609,1-1-15-115,115,ඉහළ කොස්ගම දකුණ,இஹல கொஸ்கம தெற்கு,Ihala Kosgama South,428B
40,24,610,1-1-15-120,120,මිරිස්වත්ත,மிரிஸ்வத்த,Miriswatta,428C
40,25,611,1-1-15-125,125,අලුත් අමබලම,அளுத் அம்பலம,Aluth Ambalama,428A
40,26,612,1-1-15-130,130,කිරිවන්දල දකුණ,கிரிவந்தல தெற்கு,Kiriwandala South,431E
40,27,613,1-1-15-135,135,කොටහැර,கொட்ட‍‍ஹேற,Kotahera,432D
40,28,614,1-1-15-140,140,සීතාවක,சீதாவக்க,Seethawaka,432B
40,29,615,1-1-15-145,145,ආරාධනාකන්ද,அரதாண கந்த,Aradhana Kanda,432E
40,30,616,1-1-15-150,150,පුවක්පිටිය දකුණ,புவக்பிட்டிய தெற்கு,Puwakpitiya South,431C
40,31,617,1-1-15-155,155,පුවක්පිටිය,புவக்பிட்டிய,Puwakpitiya,431
40,32,618,1-1-15-160,160,එගොඩගම,எகொடகம,Egodagama,431D
40,33,619,1-1-15-165,165,වේරගොල්ල උතුර,‍‍வேரகொல்ல வடக்கு,Weragolla North,431A
40,34,620,1-1-15-170,170,හිගුරල,ஹிங்குரால,Hingurala,429A
40,35,621,1-1-15-175,175,කඩුගෙඩෙ උතුර,கடுகொஅட வடக்கு,Kadugoada North,430
40,36,622,1-1-15-180,180,මාවල්ගම,மவல்கம,Mawalgama,437
40,37,623,1-1-15-185,185,සුදුවැල්ල,சுதுவெல்ல,Suduwella,436A
40,38,624,1-1-15-190,190,ගිරා ඉඹුළ,கிரா இம்புல,Gira Imbula,435A
40,39,625,1-1-15-195,195,වලවීවත්ත,வலவ்வத்த,Walauwathta,445A
40,40,626,1-1-15-200,200,පහළ හංවැල්ල,பஹல ஹங்வெல்ல,Pahala Hanwella,445
40,41,627,1-1-15-205,205,හංවැල්ල නගරය,ஹங்வெல்ல நகரம்,Hanwella Town,443B
40,42,628,1-1-15-210,210,ඉහළ හංවැල්ල උතුර,இஹல ஹங்வெல்ல வடக்கு,Ihala Hanwella North,443
40,43,629,1-1-15-215,215,නිරිපොළ,நிரிபொல,Niripola,438
40,44,630,1-1-15-220,220,බ්‍රැන්ඩිගම්පළ,பிரண்டிகம்பல,Brandigampala,440A
40,45,631,1-1-15-225,225,කඩුගොඩ දකුණ,கடுகொட தெற்கு,Kadugoda South,430A
40,46,632,1-1-15-230,230,වේරගොල්ල දකුණ,‍‍வேரகொல்ல தெற்கு,Weragolla South,431F
40,47,633,1-1-15-235,235,දිගන,திகண,Digana,442F
40,48,634,1-1-15-240,240,ලහිරුගම,லஹிருகம,Lahirugama,442D
40,49,635,1-1-15-245,245,මාඹුල,மாம்புல,Mabula,441
40,50,636,1-1-15-250,250,වැලිකන්න,வெலிகண்ண,Welikanna,442
40,51,637,1-1-15-255,255,කහහේන,கஹ‍ஹேண,Kahahena,441A
40,52,638,1-1-15-260,260,නෙලුවත්තුඩුව,நெலுவத்துடுவ,Neluwattuduwa,440
40,53,639,1-1-15-265,265,දිද්දෙණිය උතුර,தித்தெணிய வடக்கு,Diddeniya North,439
40,54,640,1-1-15-270,270,ඉහළ හංවැල්ල දකුණ,இஹல ஹங்வெல்ல தெற்கு,Ihala Hanwella South,443C
40,55,641,1-1-15-275,275,පහත්ගම,பஹத்கம,Pahathgama,443A
40,56,642,1-1-15-280,280,ජයවීරගොඩ,ஜயவீரகொட,Jayaweeragoda,443D
40,57,643,1-1-15-285,285,කූඩළුවිල,கூடலுவில,Koodaluvila,444D
40,58,644,1-1-15-290,290,තුන්නාන නැගෙනහිර,துண்ணண கிழக்கு,Thunnana East,444
